Object_ID, Length, Assignment
M03424:106:000000000-AU667:1:1101:1943:12269/1,165,NA
M03424:106:000000000-AU667:1:1101:2209:16667/1,57,NA
M03424:106:000000000-AU667:1:1101:2432:10116/1,87,NA
M03424:106:000000000-AU667:1:1101:2627:9503/1,301,NA
M03424:106:000000000-AU667:1:1101:3552:9925/1,76,NA
M03424:106:000000000-AU667:1:1101:4470:16679/1,58,NA
M03424:106:000000000-AU667:1:1101:4666:6213/1,95,NA
M03424:106:000000000-AU667:1:1101:5847:17414/1,55,NA
M03424:106:000000000-AU667:1:1101:5880:14872/1,51,NA
M03424:106:000000000-AU667:1:1101:6400:5797/1,127,NA
M03424:106:000000000-AU667:1:1101:7231:18751/1,48,NA
M03424:106:000000000-AU667:1:1101:8088:4756/1,43,NA
M03424:106:000000000-AU667:1:1101:8176:10014/1,48,NA
M03424:106:000000000-AU667:1:1101:8441:15585/1,173,NA
M03424:106:000000000-AU667:1:1101:9154:18979/1,139,NA
M03424:106:000000000-AU667:1:1101:9176:6390/1,38,NA
M03424:106:000000000-AU667:1:1101:9254:21435/1,301,NA
M03424:106:000000000-AU667:1:1101:9832:11621/1,35,NA
M03424:106:000000000-AU667:1:1101:9978:13315/1,173,NA
M03424:106:000000000-AU667:1:1101:10077:15690/1,69,NA
M03424:106:000000000-AU667:1:1101:10315:16036/1,301,NA
M03424:106:000000000-AU667:1:1101:10350:15961/1,45,NA
M03424:106:000000000-AU667:1:1101:10579:18925/1,75,NA
M03424:106:000000000-AU667:1:1101:10791:23205/1,96,NA
M03424:106:000000000-AU667:1:1101:11573:2720/1,54,NA
M03424:106:000000000-AU667:1:1101:11676:13849/1,37,NA
M03424:106:000000000-AU667:1:1101:11894:19052/1,41,NA
M03424:106:000000000-AU667:1:1101:11954:23893/1,97,NA
M03424:106:000000000-AU667:1:1101:12127:13459/1,41,NA
M03424:106:000000000-AU667:1:1101:12145:9896/1,84,NA
M03424:106:000000000-AU667:1:1101:12591:14316/1,301,1805714
M03424:106:000000000-AU667:1:1101:13379:14540/1,97,NA
M03424:106:000000000-AU667:1:1101:13703:14642/1,35,NA
M03424:106:000000000-AU667:1:1101:13907:10414/1,44,NA
M03424:106:000000000-AU667:1:1101:14960:20133/1,78,NA
M03424:106:000000000-AU667:1:1101:15017:10100/1,57,NA
M03424:106:000000000-AU667:1:1101:15766:15069/1,95,NA
M03424:106:000000000-AU667:1:1101:15863:22258/1,108,NA
M03424:106:000000000-AU667:1:1101:16696:17630/1,103,NA
M03424:106:000000000-AU667:1:1101:16708:18172/1,88,NA
M03424:106:000000000-AU667:1:1101:17806:16419/1,99,NA
M03424:106:000000000-AU667:1:1101:18685:2076/1,35,NA
M03424:106:000000000-AU667:1:1101:19378:14577/1,113,NA
M03424:106:000000000-AU667:1:1101:19441:9365/1,301,NA
M03424:106:000000000-AU667:1:1101:20107:11248/1,35,NA
M03424:106:000000000-AU667:1:1101:20289:10630/1,76,NA
M03424:106:000000000-AU667:1:1101:20520:16259/1,300,NA
M03424:106:000000000-AU667:1:1101:22148:22905/1,42,NA
M03424:106:000000000-AU667:1:1101:22357:5168/1,111,NA
M03424:106:000000000-AU667:1:1101:22910:4772/1,301,NA
M03424:106:000000000-AU667:1:1101:23067:7649/1,44,NA
M03424:106:000000000-AU667:1:1101:23144:13921/1,97,NA
M03424:106:000000000-AU667:1:1101:23749:12905/1,134,NA
M03424:106:000000000-AU667:1:1101:23753:21937/1,109,NA
M03424:106:000000000-AU667:1:1101:24291:10671/1,116,408
M03424:106:000000000-AU667:1:1101:24632:18847/1,78,NA
M03424:106:000000000-AU667:1:1101:24875:15106/1,35,NA
M03424:106:000000000-AU667:1:1101:24947:9744/1,301,NA
M03424:106:000000000-AU667:1:1101:25276:22087/1,41,NA
M03424:106:000000000-AU667:1:1101:26068:6071/1,54,NA
M03424:106:000000000-AU667:1:1101:26805:9353/1,300,NA
M03424:106:000000000-AU667:1:1101:27017:11057/1,300,NA
M03424:106:000000000-AU667:1:1101:29350:14875/1,35,NA
M03424:106:000000000-AU667:1:1102:1799:13142/1,40,NA
M03424:106:000000000-AU667:1:1102:2148:14650/1,301,NA
M03424:106:000000000-AU667:1:1102:2575:12342/1,81,NA
M03424:106:000000000-AU667:1:1102:2837:12650/1,177,NA
M03424:106:000000000-AU667:1:1102:3832:19455/1,109,NA
M03424:106:000000000-AU667:1:1102:4155:20145/1,43,NA
M03424:106:000000000-AU667:1:1102:4657:19588/1,35,NA
M03424:106:000000000-AU667:1:1102:5180:13131/1,61,NA
M03424:106:000000000-AU667:1:1102:5473:18516/1,301,NA
M03424:106:000000000-AU667:1:1102:6559:15323/1,301,NA
M03424:106:000000000-AU667:1:1102:6721:17332/1,68,NA
M03424:106:000000000-AU667:1:1102:6932:4471/1,35,NA
M03424:106:000000000-AU667:1:1102:7034:21934/1,52,NA
M03424:106:000000000-AU667:1:1102:7229:6854/1,38,NA
M03424:106:000000000-AU667:1:1102:7400:13711/1,45,NA
M03424:106:000000000-AU667:1:1102:7815:9082/1,53,NA
M03424:106:000000000-AU667:1:1102:8218:19270/1,180,NA
M03424:106:000000000-AU667:1:1102:8256:6914/1,55,NA
